text,cmp_code
PLATEFORME ELECTORALE PCC 2015  OUR CONSERVATIVE PLAN TO PROTECT THE ECONOMY  FOREWORD BY PRIME MINISTER STEPHEN HARPER,NA
"In this election, Canadians have a clear choice: a choice that carries the greatest of consequences for our economy, for our jobs, and for our families.  Amid a global economy that is once again weak and in turmoil, Canada's economy remains stronger than most but it's fragile, and needs protection from instability elsewhere in the world.  On October 19, Canadians will choose which party has the best plan, in these troubled times, to protect our economy and protect your job.  Because our economic vision for Canada is so different from that of our opponents, your choice will make a huge difference. Wrong government decisions on taxes, spending, and deficits will expose our economy to harm, and ultimately put the jobs of hard-working Canadians at risk.  For Conservatives, protecting Canada's economy is our number one priority.   That's why we have a positive plan to protect the economy and create jobs over the next four years, and beyond.  We'll:  Keep the federal budget balanced.  Lower taxes on small businesses and workers.  Aim to create another 1.3 million new, well-paying jobs by 2020.  Open new markets for Canadian businesses and products through the Trans-Pacific Partnership.  Aim to add more than 700,000 new homeowners by 2020.  Provide new tax relief and benefits to families and seniors.   Our plan will keep Canada's economy moving forward.   It's the right plan for our economy.  It's the right plan for Canadians.   Of course, we'll also continue to protect Canadians in a dangerous and uncertain world, keeping our streets and communities safe.   But ultimately, all of these things depend on a strong and growing economy.  So the choice in this election is this: Which government do you trust to manage and protect the fragile Canadian economy, and your job, in the face of global economic turmoil?  Our Conservative Party is the only party with a proven economic record and a low-tax, balanced budget plan for the future.   Permanent deficits, higher taxes, and more debt, as proposed by the Liberals and the NDP, will wreck our economy, cost you money, and possibly your job.   This platform sets out a different, better plan for the next four years. It's our plan to make this country the greatest country in the world even stronger and more prosperous for hard-working Canadian families, now and for generations to come.   It's our Economic Action Plan. It's working. Let's continue on with what we know works.",NA
PROTECTING OUR ECONOMY: OUR CONSERVATIVE PLAN,NA
"We have a positive plan for the next four years to protect Canada's economy,",403
"create new, well-paying jobs,",410
and help families and seniors.,504
BALANCED BUDGET,NA
We balanced the budget last year one year ahead of schedule and already have a significant surplus for this year.,414
A balanced budget is the anchor of our low-tax plan to protect our fragile economy and help Canadian families.,414
We'll continue to make the right choices to keep our budget balanced and taxes low.,414
LOWER TAXES,NA
Our low-tax pledge is rooted in our record:,305
Canadians know that we'll do what we say and that we'll manage taxpayer dollars responsibly.,305
We're prepared to go even further and entrench our low-tax plan in legislation.,414
"Our ''tax lock'' legislation will back our low-tax commitment to families, seniors, workers and small businesses with the force of the law for the next four years.",414
MORE AND BETTER JOBS,NA
Our number one priority is the economy creating jobs and economic growth.,410
Canada has led the G-7 in job creation since 2006 because we've made the right choices.,305
"We've created 1.3 million net new jobs since the depths of the global economic recession,",305
"and our plan will create another 1.3 million new, well-paying jobs by 2020.",410
EXPANDED TRADE,NA
Canada is a trading nation and we've made historic strides to open new markets for Canadian businesses and their workers.,407
The Trans-Pacific Partnership is the largest free trade deal in history.,407
It provides almost 800 million new customers throughout the Asia-Pacific region for Canadian goods and services.,407
"Membership in this agreement is a good deal for Canada, one that will create jobs and opportunities and protect our economy.",407
FAMILY HOME,NA
Homeownership is a key way to support Canadian families.,504
And we're helping more Canadians become homeowners by providing new support to buy and invest in their homes.,504
Now one in seven Canadian households owns their own homes one of the highest rates in the industrialized world.,504
"And, under our plan for affordable, responsible homeownership, we'll aim to add more than 700,000 new homeowners by 2020.",504
SUPPORTING SENIORS,NA
"Canadian seniors deserve our respect and gratitude for a lifetime of hard work in service to our families, our communities, and our country.",504
Our Government has lowered taxes and enhanced benefits to make life more affordable for Canadian seniors.,504
"And, under our plan, single and widowed seniors will get new, major tax relief to help them live their later years in dignity and comfort.",504
These are our priorities:   Keeping our budget balanced.,414
"Lowering taxes on families, seniors, and small businesses.",410
Creating 1.3 million new jobs.,410
Opening new markets for Canadian businessesand workers.,407
"Helping 700,000 more Canadians own their own homes.",706
This is our positive plan to protect Canada's fragile economy and keep it moving forward for the next four years.,410
OUR CONSERVATIVE PLAN FOR A BALANCED BUDGET AND LOW TAXES,NA
"To protect Canada's economy, a re-elected Conservative Government will:   Ensure the federal budget remains balanced",414
Control government spending,414
Keep the tax burden low,414
Continue to reduce Canada's debt-to-GDP ratio,414
Maintain our balanced budget legislation,414
Pass Tax Lock€ legislation to prohibit tax increases in the next four years,414
Budgets don't balance themselves.,305
Canadian families and small business owners understand that.,305
So does our Conservative Government.,305
Keeping Canada's public finances on a solid footing involves hard work and tough choices.,305
And that's what we've done.,305
"Our Conservative Government has controlled spending, lowered taxes, and kept Canada's debt levels the lowest in the G-7 by far.",414
This serves as the fiscal foundation for our plan for Canada's economy.,414
A balanced budget lets us return more money back into the pockets of hard-working families.,414
The federal tax burden is now at its lowest in over half a century.,414
A balanced budget lets us maintain our low debt levels.,414
Low public debt means less taxpayer money dedicated to interest payments and makes it easier for businesses to borrow and invest at a low cost.,410
"A balanced budget lets us make targeted, affordable investments to protect our fragile economy and help families.",414
"This is the basis for our recent enhancement to the monthly Universal Child Care Benefit, our historic infrastructure investment, and the new measures set out in our plan for the next four years.",504
"A balanced budget allows us to protect key programs such as health care and education without having to make deep spending cuts,",504
like previous Liberal governments.,305
A balanced budget ensures that we're not passing on a massive debt burden to our children and grandchildren.,414
It's for these reasons that our Conservative Government has been so committed to balancing the budget.,414
A balanced budget is the anchor for our low-tax plan that's helping Canadian families and protecting Canada's fragile economy.,414
We ran a temporary deficit in 2009 to help protect and create jobs in the face of the worst global economic recession since the 1930s.,409
"But as part of our Economic Action Plan, we also set out a clear, credible plan to return to a balanced budget.",414
And we've been focused on that plan ever since.,414
"Unlike the previous Liberal government,",305
we've continued to increase transfer payments to the provinces and territories for health care and education as we promised.,301
And we've kept taxes low.,414
"Instead, we've eliminated the deficit by controlling government spending,",414
"by eliminating waste and duplication,",303
and by getting rid of outdated or ineffective programs.,303
Our plan is working.,305
We returned to balance in 2014-15 a full year ahead of schedule.,414
"And, according to the Department of Finance, we're on track for the second balanced budget in a row this year.",414
"Canada's sound public finances are the envy of the world, a source of our economic strength, and a re-elected Conservative Government will ensure they remain that way.",305
"Spending beyond our means, as the Liberals and NDP would have us do, would cause structural deficits that would damage our economy,",305
"lead to tax hikes and program cuts,",305
and burden future generations with heavy debt.,305
We need only to look around the world at countries like Greece to see the consequences of profligate and irresponsible spending.,305
"That's not our plan, and not the way forward for Canada.",305
"We'll continue to advance our low-tax, balanced budget plan for jobs and growth,",410
"and we'll continue to operate in the black, spending sensibly within our means and keeping the books balanced.",414
A re-elected Conservative Government will balance the budget every year in the next four years,414
"while keeping taxes low,",410
"increasing transfers to the provinces and territories for health care and education,",301
and making affordable investments to protect the economy and help Canadian families.,410
We'll accomplish this by controlling the growth of direct program spending,414
and maintaining the operating budget freeze for one more year.,414
These steps will provide the fiscal room to make the affordable investments set out in our plan,410
and ensure that the budget remains balanced without raising taxes.,414
Our plan is based on the fiscal projections in the 2015 Budget presented in April.,305
"These projections were based on independent, expert advice from Canada's leading private-sector economists, and include contingencies of up to $3 billion per year to account for the current global economic uncertainty.",305
Put simply: Canadians can count on us to keep the budget balanced and taxes low in the next four years.,414
"We're so committed to these goals, we'll entrench them in law.",414
Our balanced budget legislation ensures that the only acceptable deficit is one that responds to a recession or truly extraordinary circumstances.,414
Deficits outside of these rare scenarios are unacceptable.,414
"A re-elected Conservative Government will follow the Federal Budget Balanced Act to keep spending under control, the budget balanced, and taxes low.",414
We will also continue to reduce Canada's debt burden to meet our debt-to-GDP target of 25 percent by 2021.,414
"Canada now has the lowest debt levels by far among G-7 countries,",414
and we'll make sure our children and grandchildren aren't forced to pay the price for reckless borrowing and spending.,414
Canadians know they can trust us to lower their taxes and keep them low.,305
This is a major point of difference between our Conservative Party and the Liberals and NDP.,305
"These two parties have promised some combination of higher taxes on individuals, families, seniors, and small businesses",305
"€“ including taking away income splitting""",305
and eliminating Tax- Free Savings Accounts in whole or in part.,305
Our low-tax pledge is rooted in our record.,305
Canadians know that we'll do what we say and that we'll manage taxpayer dollars responsibly.,305
"But unlike the Liberals and NDP, we're prepared to go even further and entrench our low-tax plan in legislation.",305
"A re-elected Conservative Government will pass legislation imposing a tax lock€ that prohibits increases to federal personal and business income tax rates, sales tax rates, and discretionary payroll taxes over the next four years.",414
This pledge backs our low-tax commitment with the force of the law.,414
AT RISK,NA
Our Conservative Government is the only party in this election with a clear plan to keep the budget balanced and taxes low.,305
"Not only do we have a clear track record, but we're putting forward new measures to ensure the budget stays balanced and the tax burden continues to fall.",305
"The Liberals and NDP have put forward plans to run large, permanent deficits, hike taxes on workers, families, and small businesses, and leave our economy exposed.",305
"They'll do this by:   Adding billions of dollars in new spending, running ongoing, permanent deficits, and accumulating billions more in debt.",305
Repealing our balanced budget legislation so they can run deficits without being accountable to Canadians.,305
Putting important programs like health care and education at risk as a result of their reckless and irresponsible spending.,305
"Eliminating the Family Tax Cut which is providing up to $2,000 in tax relief for 1.7 million families.",305
"Taking away the monthly Universal Child-Care Benefit which is providing nearly $2,000 per year for children under age 6, and more than $700 per year for children aged 6 to 17.",305
The UCCB goes to all the nearly four million families with children.,305
Shutting down Tax-Free Savings Accounts which are helping 11 million Canadians save and grow their savings tax-free.,305
Cancelling Pension Income Splitting which is providing one million senior couples with more than $1 billion annual tax relief.,305
"Hiking payroll taxes as much as $1,000 per year for someone making $60,000 on Canadian workers and small businesses.",305
"Driving up the price of everything Canadian families buy including gasoline, groceries, and home heating fuel by imposing carbon pricing schemes on the Canadian economy.",305
OUR CONSERVATIVE PLAN FOR A STRONGER ECONOMY,NA
"To protect our economy and create jobs, a re-elected Conservative Government will:   Aim to create 1.3 million new jobs by 2020",410
Cut taxes on small businesses from 11 to 9 percent,402
Lower payroll taxes on small businesses and workers by more than 20 percent,402
Implement the Trans-Pacific Partnership free trade agreement,407
Provide new incentives for manufacturers to purchase equipment,411
and invest in new technologies,411
Grant tax relief to businesses that hire apprentices,411
"As much of the rest of the world continues to struggle with the fallout from the recent global financial recession, Canada has emerged in a position of relative strength.",305
We have one of the best job-creation records in the G-7.,305
"Indeed, since the depths of the global recession, 1.3 million net new jobs mostly well-paying, full-time positions in the private sector have been created.",305
That's more Canadians working than before the recession.,305
That's more Canadians working than ever before in our country's history.,305
And it's so much more than just a number.,410
"With every job created, there's another Canadian who knows the dignity of supporting his or her family, and another family with a brighter future.",410
"Having a good job is the difference between worrying about today and dreaming about tomorrow which is why the creation of new, well-paying jobs for Canadians will continue to be our top priority.",410
The best way to ensure more and better jobs is to create the right conditions for our enterprising businesses to do what they do best.,410
"Businesses create jobs and opportunities that make our economy stronger, and the new products and ideas that make our lives better.",410
"That means continuing with our Conservative plan to balance the budget, keep taxes and debt low,",414
"open new markets for Canadians products,",407
"make smart, affordable investments in the economy,",410
and support entrepreneurs and small businesses as they hire and grow.,410
Keeping our budget balanced,414
and lowering taxes on small businesses is the right way for government to protect Canada's fragile economy and create jobs.,402
The other parties have a different vision.,305
"The Liberals and NDP believe that they can raise taxes, run deficits, and accumulate more government debt without killing jobs.",305
"But all you have to do is look around the world to see the consequences of that type of high-tax, high-debt agenda.",305
It saps small business ingenuity and diminishes the reward for innovation and hard-work.,305
It punishes success and discourages entrepreneurs from entering the market.,305
"It chokes off job creation and, ultimately, wrecks economies.",305
"In Canada, it would mean more Canadians out of work and looking for jobs.",305
Canadians simply can't afford the high-tax agenda of the Liberals and NDP.,305
"The path forward is clear: only a re-elected Conservative Government will continue to implement its low-tax, balanced budget plan to protect Canada's economy",414
and create jobs.,410
This is the right path.,305
It's working.,305
And we intend to keep moving forward.,305
A re-elected Conservative Government will build on our job-creation record by implementing a positive plan to create 1.3 million net new jobs by 2020.,410
KEEPING TAXES LOW,NA
"We understand that keeping taxes low helps small businesses to grow and create new, well-paying jobs.",410
"Because of our low-tax, balanced budget plan for jobs and economic growth, Canada has the lowest overall tax rate on new business investment of all the major advanced economies,",410
and our tax rate on small businesses continues to fall.,410
Canada is now often cited as one of the best countries in the world in which to do business.,410
A re-elected Conservative Government will maintain and build on this low-tax record.,402
We will not raise taxes on the businesses that create jobs for Canadians or on Canadian workers.,402
Our tax lock€ legislation will prohibit income and sales tax rate increases and discretionary payroll tax hikes on Canadian businesses and workers for the next four years.,402
"Instead, we will carry out our plan to lower the tax rate on small businesses which we've already lowered from 13 percent to 11 percent another two percentage points, to nine percent, by 2019.",402
This is the largest reduction in the small business tax rate in a quarter century.,402
The Liberals and NDP have promised to raise payroll taxes on workers and small businesses by billions of dollars.,305
"But we know that lower payroll taxes encourage small businesses to hire more Canadians, and to pay them higher wages.",410
That's why we've worked so hard to keep those taxes down.,305
Our low-tax record is clear.,305
We have kept payroll taxes low,402
"and in 2014 we created the two-year Small Business Job Credit to provide more than $550 million in payroll tax relief for 780,000 job-creating businesses across the country.",402
A re-elected Conservative Government will continue to lower these taxes.,402
"Beginning in 2017, when the current freeze on EI premiums expires, we will lower them by more than 20 percent a substantial benefit to Canadian small businesses and workers.",402
"Our small businesses will be able to hire even more workers, and for 16 million Canadian workers, it'll mean a significant salary raise.",402
We're the only party - the only ones that can be trusted - to keep taxes low on small businesses and their workers for the next four years.,305
OPENING MARKETS FOR CANADIAN BUSINESSES,NA
"From the days of the French and British traders who first laid the foundations of our modern economy, Canada has been a trading nation.",407
Trade is the lifeblood of our economy.,407
"It accounts for 60 percent of our GDP, and one in five Canadian jobs.",407
Canadian businesses and workers know instinctively that we can compete with the world's best as long as the playing field is level.,407
We also know that we're better off when our goods and services can reach global markets without barriers and restrictions.,407
Yet previous governments failed Canadians when it came to negotiating trade access for Canadian products.,305
"While other countries were busy signing free-trade deals and receiving preferential access to important markets, the Liberals weren't even at the negotiating table.",305
And Canadian businesses and workers suffered.,305
Our Conservative Government has reversed this inaction and opened up new markets for Canadian products and services.,407
When we took office Canada had free trade agreements with only five other countries.,305
"We've now reached agreements with 44, countries, encompassing more than half the global marketplace, including historic trade deals with South Korea and the European Union, with its 500-million person, $18-trillion economy.",407
These agreements have given Canadian businesses and their workers access to more than half the global marketplace.,407
Yet there's more to accomplish.,407
"In the past few days we have concluded the Trans-Pacific Partnership (TPP) agreement with 11 other founding countries, including the United States, Japan, Australia, and New Zealand.",407
The TPP is the largest free trade deal in history.,407
It gives  greater access for Canadian goods and services to almost 800 million consumers throughout the fast-growing Asia-Pacific region.,407
It's a great deal for Canada that will significantly benefit our economy and Canadians' prosperity.,407
"The TPP will protect and create jobs,",407
"grow Canada's economy,",407
and provide financial security to workers and businesses in all regions of the country.,407
"It guarantees preferential access for Canadian goods and services in a range of sectors including agriculture and agri-food, fish and seafood, forestry, metals and mining, and manufactured industrial goods.",407
"The Trans-Pacific Partnership is a historic agreement that will protect and create jobs, and grow Canada's economy now and in the future.",407
That's why a re-elected Conservative Government will ratify and implement the TPP.,407
"As part of the TPP negotiations, we've defended and protected Canada's supply management system, as we committed to.",407
We've limited access to only three and one quarter percent of our dairy market.,703
