text,cmp_code
PLATEFORME ELECTORALE PARTI VERT 2015,NA
BUILDING A CANADA THAT WORKS.,NA
TOGETHER 2015,NA
"AT HEART, I AM AN OPTIMIST.    Though my job constantly requires me to look to the challenges and dangers on the horizon, I know that Canadians working together can solve any problem, overcome any hurdle. I think that is what makes us Canadian a profound faith that together, through hard work, compassion and cooperation, we can build a better future.   This platform is about Canada. Our democracy, our economy, our communities our future. This platform is about people, each and every one of us, and the role we play in our country and the essential services we all need to live safe, happy, fulfilled, and enriched lives.    I know many may think of the Green Party as a single issue party yet, nothing could be further from the truth. Granted, you know me as someone who for the past forty years has stood firm to protect the air we all breathe, the water we drink, and the land that sustains us. But you also know me as a staunch defender of democracy, of economic policies that make sense, of fairness and openness, of justice and equity.   Have a look at what we are proposing to build a Canada that works together, but don't stop there. Ask the tough questions of how we will work in the next parliament in collaboration with all parties to do what's best for Canadians and our country. Then ask the other leaders those same tough questions. You deserve answers promises are just not good enough.   Our platform is organized around four key issue areas: economy, communities, government, and climate. The policies within have been developed democratically, by people from all walks of Canadian life, from every province, territory, and traditional land.  Canadians inspire me. As Leader of the Green Party, I want to work for citizens to be heard. I want to work to help people who need help, and support small business and local communities as we grow stronger. Canadians in this election, more than ever, can vote from hope and from conviction, not from fear. In this platform you will find optimism, confidence, and sensible Canadian-made plans for a better future.    I hope they inspire you to join us, and to vote Green on October 19.   Elizabeth May Leader,   Green Party of Canada",NA
BUILDING A CANADA THAT WORKS TOGETHER,NA
"OUR VISION FOR A STRONG, SECURE AND SUSTAINABLE CANADA",NA
"In a world filled with conflict and uncertainty, Canada stands as an island of peace, freedom, and stability.",601
"Canadians are a people united by cooperation, hard work, and mutual respect.",606
"We know that it is our families, our communities, and our teamwork that make us strong.",606
"We view the diversity of our nation not as a liability, but rather as a shared strength and source of pride.",607
"Together, we have built one of the wealthiest countries in the world, blessed with a skilled and resourceful population, abundant natural resources, and a highly productive economy.",601
"We have built a country with universal health care, public education, a social safety net that safeguards us in times of hardship, and a public pension plan that provides us security in retirement.",601
"But, in recent years, the national values, natural environment, and individual qualities that allowed us to build the Canada we know and love have come under threat.",601
"The Harper Conservatives have skewed and weakened the Canadian economy, focusing solely on higher polluting industries, instead of on creating good, stable, high-paying jobs.",305
"They have failed our communities by slashing funding to critical public services, instead subsidizing foreign multinational corporations and providing tax cuts to the wealthiest few.",305
They have granted special privileges to foreign corporations and made us subservient to the interests of foreign investors.,305
"They have failed to unite us in the face of conflict and uncertainty, instead cynically opting to divide our nation for partisan gain.",305
"They have failed to act in the face of an ever-growing climate crisis, instead gambling our future on more pipelines, more fracking, and risky tankers on our coasts.",305
"This platform lays out a plan to move Canada forward, to overcome the last ten years, and restore the shared values and principles that built the country we love.",305
"Our economic plan invests in people and creates good jobs, focusing on skills, knowledge, and sustainable resource development.",416
"Our plan envisions strong communities as the foundation of a strong country,",606
"and will provide the investments in infrastructure,",411
"education,",506
and health care necessary to make that vision a reality.,504
"Our plan proposes democratic reforms that will make our politicians more accountable,",202
"our parliament more accessible,",202
and our voting system more representatives.,202
"Our plan takes bold climate action, by embracing the solutions that we already know work,",501
"encouraging research into those we have yet to discover,",411
and increasing the taxes paid by corporate polluters.,501
"We understand that in a federation like Canada, no one level of government and no one political party has all the answers.",301
Canada stands apart from every other industrialized country in lacking any national goals or strategy to respond to pressing issues.,301
"We are the only country in the Organization for Economic Cooperation and Development (OECD) with no national policy for energy, housing, education, transportation, health care, climate, or culture.",301
We need to reinvent the way we make decisions.,301
Greens will press for the creation of a Council of Canadian Governments.,301
