"text","cmp_code"
"PLATEFORME ELECTORALE PARTI LIBERAL DU CANADA 2015",NA
"ECONOMIC SECURITY FOR THE MIDDLE CLASS",NA
"A strong economy starts with a strong middle class.","408"
"Our plan offers real help to Canada's middle class and all those working hard to join it.","704"
"When our middle class has more money in their pockets to save, invest, and grow the economy, we all benefit.","704"
"We will give families more money to help with the high cost of raising their kids.","504"
"We will cancel tax breaks and benefits for the wealthy including the Universal Child Care Benefit €“","503"
"and introduce a new Canada Child Benefit to give Canadian families more money to raise their kids.","504"
"With the Canada Child Benefit, nine out of ten Canadian families will receive more than under Stephen Harper's confusing collection of child benefit programs.","305"
"For the typical family of four, that means an additional $2,500 in help, tax-free, every year.","305"
"Because the Canada Child Benefit is tax-free and tied to income, it also provides greater support to those who need help the most: single-parent families and low-income families.","503"
"Our plan will lift 315,000 Canadian children out of poverty.","503"
"Stephen Harper thinks that government should provide child support payments to millionaires.","305"
"We will end that unfair giveaway.","305"
"MIDDLE CLASS TAX CUT",NA
"We will give middle class Canadians a tax break, by making taxes more fair.","503"
"When middle class Canadians have more money in their pockets to save, invest, and grow the economy, we all benefit.","704"
"We will cut the middle income tax bracket to 20.5 percent from 22 percent a seven percent reduction.","503"
"Canadians with taxable annual income between $44,700 and $89,401 will see their income tax rate fall.","503"
"This tax relief is worth up to $670 per person, per year or $1,340 for a two-income household.","503"
"To pay for this tax cut, we will ask the wealthiest one percent of Canadians to give a little more.","503"
"We will introduce a new tax bracket of 33 percent for individuals earning more than $200,000 each year.","503"
"ENDING UNFAIR TAX BREAKS",NA
"We will cancel income splitting and other tax breaks and benefits for the wealthy.","503"
"Income splitting costs the federal government $2 billion a year but delivers benefits to only a few.","503"
"It will not create a single job.","503"
"It will not give one young person an opportunity to get ahead.","503"
"Income splitting delivers no benefits to working parents who earn similar salaries, no benefits to single parents, and no benefits to Canadians who do not have kids.","503"
"All told, income splitting benefits only about 15 percent of Canadian households.","503"
"We will cancel Stephen Harper's tax breaks for the wealthy,","503"
"to give Canadian families more money to raise their children.","503"
"OPPORTUNITIES FOR YOUNG CANADIANS",NA
"We will invest to create more jobs and better opportunities for young Canadians.","706"
"After ten years under Stephen Harper, good-quality job opportunities for young Canadians are tougher and tougher to find.","305"
"Faced with high unemployment and underemployment, many young people have stopped looking for work altogether.","706"
"This is hard for both young people and their families.","706"
"Many parents are seeing their household debt rise and retirement savings dwindle as they struggle to support their grown children, who often return home.","706"
"It is time to invest in young Canadians to help them get the work experience they will need to start their careers and contribute fully to our economy.","706"
"We will create 40,000 good youth jobs including 5,000 youth green jobs each year for the next three years, by investing $300 million more in the renewed Youth Employment Strategy.","410"
"We will more than double the almost 11,000 Canadians who access Skills Link each year.","411"
"This program helps young Canadians including Aboriginal and disabled youth make a more successful transition to the workplace.","411"
"After this initial three-year boost in funding, we will set the renewed Youth Employment Strategy 's funding level at $385 million per year a $50 million increase from 2015/16.","411"
"We will invest $40 million each year to help employers create more co-op placements for students in science, technology, engineering, mathematics, and business programs.","411"
"And to encourage companies to hire young Canadians for permanent positions, we will also offer a 12-month break on Employment Insurance premiums.","402"
"We will waive employer premiums for all those between the ages of 18 and 24 who are hired into a permanent position in 2016, 2017, or 2018.","402"
"We will also work with provinces, territories, and post-secondary institutions to develop or expand Pre-Apprenticeship Training Programs.","411"
"This will provide up to $10 million per year to help young Canadians gain the skills they need to enter high-demand trades.","411"
"We will end the rule that discriminates against new workers and those re-entering the workforce by requiring them to accumulate 910 hours of work to qualify for Employment Insurance benefits, including training support.","503"
"We will invest $25 million per year in a restored Youth Service Program, to give young Canadians valuable work and life experience, and provide communities with the help required for much-needed projects.","706"
"RETIREMENT SECURITY",NA
"We will provide Canadians with a more secure retirement.","706"
"After a lifetime of hard work, Canadians have earned a secure and dignified retirement, but too many now wonder when or even if that will happen.","706"
"We will help Canadians realize their goal of a secure retirement.","706"
"That security starts with a strong and stable pension program.","504"
"We will work with the provinces and territories, workers, employers, and retiree organizations to enhance the Canada Pension Plan.","504"
"We will not end pension income splitting for seniors.","504"
