text,cmp_code
PLATEFORME ELECTORALE NOUVEAU PARTI DEMOCRATIQUE 2015,NA
BUILDING THE COUNTRY OF OUR DREAMS TOM MULCAIR'S PLAN TO BRING CHANGE TO OTTAWA,NA
A message from Tom,NA
"This election is about the country we want, the country of our dreams.   Canadians expect their Prime Minister to work hard each and every day to make life better for their families.   Leadership is about choices.   Our choices are based on our values.   From a young age, my parents taught me and my brothers and sisters the importance of living by your values.   These values are at the heart of who I am as a husband, a father and grandfather.   As your Prime Minister, I will wake up every day focused on building the country of our dreams.   With the NDP, that means:   Bringing in quality, affordable childcare.   Strengthening our public health care system.   Ensuring a cleaner environment by holding polluters accountable.   Kick-starting the economy and creating good jobs.   The NDP will ask profitable corporations to pay their fair share, and invest that money in childcare, pharmacare and health care.   The NDP will end unfair tax loopholes for CEOs, and invest that money to eliminate poverty.   The NDP will clean up Ottawa, and replace Stephen Harper's culture of corruption and scandal with transparency and accountability.   Stephen Harper has done great damage to this country we only have this chance to stop him.   Only the NDP is in a position to defeat Stephen Harper and form a more progressive government in Ottawa.   On October 19th, you can bring change to Ottawa.   I'm ready; let's get started.",NA
"After Stephen Harper's lost decade, we must take immediate steps to repair the damage he has done to our country.",305
"I pledge to you that a New Democratic Party government will take immediate action to turn things around for our environment,",501
for health care,504
and for you by delivering leadership at home and on the world stage.,305
IN OUR FIRST 100 DAYS AN NDP GOVERNMENT WILL:,NA
Improve your health care,NA
We will immediately inform Canada's premiers that Harper's unilateral health cuts have been cancelled,301
"and begin work to develop a new health accord that will reduce waits for family doctors,",504
"create 5,000 new long-term care beds",504
and lower prescription drug costs by 30%.,504
Step up to fight climate change,NA
"I will personally lead the Canadian delegation to the COP21 climate conference in Paris with firm targets to cut pollution,",107
and bring in a home retrofit program to lower your household heating costs.,501
Create and protect good jobs,NA
We will pass legislation to cut small business taxes to 9% starting with one full point on January 1st €“,402
and fund priority transit and infrastructure projects to get people and the economy moving.,411
Make life more affordable for your family,NA
"We will take the first step towards our goal of universal, affordable childcare by immediately flowing funding for over 60,000 childcare spaces at no more than $15 a day.",504
"We will restore the age of retirement to 65,",701
and introduce a new Consumer Protection Act to cap ATM fees,403
and ensure Canadians have access to a low-interest credit card.,403
Make ottawa work for you,NA
"We will call an inquiry into missing and murdered Indigenous women,",503
repeal Bill C-51,201
and introduce a new Accountability Act that will crack down on Senate expenses,304
and bolster Conflict of Interest laws.,304
THIS IS MY COMMITMENT TO YOU.,NA
We will immediately bring change to Ottawa and implement our long-term plan.,305
"You can count on the NDP to:   INVEST IN BETTER HEALTH CARE, STARTING WITH:   Helping five million Canadians with 7,000 more doctors, nurses and nurse practitioners and other health professionals in community clinics.",504
Lowering drug costs through a universal coverage plan.,504
"Supporting people as they age by expanding home care to 41,000 more seniors",504
"and providing funding for 5,000 more nursing home beds.",504
"Implementing national strategies on aging, and on Alzheimer's and dementia.",504
Creating a youth mental health innovation fund to reduce wait times and improve access to care.,504
Tripling the paid leave available for Canadians who are too ill to work.,504
Supporting caregivers by expanding the compassionate care benefit so people can take up to six months paid leave to care for seriously ill loved ones.,504
"HELP YOUR FAMILY GET AHEAD AND MAKE LIFE MORE AFFORDABLE, STARTING WITH:   Helping working moms and dads with one million quality childcare spaces at no more than $15 a day.",504
Giving parents an extra five weeks of parental leave.,504
Cracking down on excessive ATM fees,403
and ensuring Canadians can access a low-interest credit card.,403
"Speeding up family reunification, specifically the reunion of children with their parents.",705
Fast-tracking foreign credential recognition for immigrants.,705
Increasing student grants,506
and eliminating interest on student loans.,506
"Creating 40,000 jobs, co-op placements and internships for youth.",506
Reinstating the federal minimum wage,412
and raising it to $15 an hour.,412
"KICK-START THE ECONOMY AND BUILD NEEDED INFRASTRUCTURE, STARTING WITH:   Cutting taxes for Canada's job creators by reducing the small business tax from 11 to 9%.",402
"Supporting innovation and investment in companies creating jobs in Canada, with an early focus on the aerospace, automotive, forestry and mining sectors.",402
"Creating jobs and building our economy with $1.5 billion per year in new infrastructure funding to municipalities to fix roads, bridges and water treatment systems.",411
Investing $1.3 billion per year in a national strategy to improve transit and reduce gridlock.,411
Boosting investment in tourism.,410
Supporting regional economic development.,410
"Helping retrofit over 50,000 homes and apartment buildings.",411
Investing in flood mitigation and disaster preparedness.,411
"GUARANTEE RETIREMENT SECURITY AND PROVIDE HELP WHERE IT'S NEEDED MOST, STARTING WITH:   Securing a better retirement for all Canadians by expanding the CPP/QPP.",504
"Eliminating CEO stock option loopholes,",503
and reinvesting the money to eliminate child poverty.,504
"Increasing the Guaranteed Income Supplement to help lift 200,000 seniors out of poverty,",504
and returning the retirement age from 67 to 65.,701
Restoring home mail delivery.,413
"Creating an action plan to end violence against women,",503
increasing shelter funding,504
and launching an inquiry into murdered and missing Indigenous women.,503
Ensuring youth participation in sports with funding to support low-income and disadvantaged youth.,502
Taking action to close the pay gap between men and women.,503
"Fixing the Nutrition North food program,",504
and investing in clean energy to get Northern communities off diesel.,501
"Providing support to train and hire 2,500 more front-line police officers,",605
and investing in crime prevention and anti-gang programs for youth.,605
"TAKE LEADERSHIP TO BUILD A BETTER CANADA, STARTING WITH:   Working with the provinces and territories,",301
